Unnamed: 0,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat,lon,lat_lon,配發公司,配發公司地址,接近險勿設施(加油站)
30,42978584,宇浩自動化有限公司,基隆市信義區孝東路142之2號5樓,300000,2018-08-07,,核准設立,蔣新平,配管工程業,-0.4,31,25.128159,121.779218,"(25.128159, 121.779218)",11,基隆通訊處,True
31,54983470,建信水電有限公司,基隆市信義區深澳坑路6巷292號5樓,500000,2019-03-27,,核准設立,吳正吉,配管工程業、電器安裝業,-0.333,32,25.133563,121.77476499999999,"(25.133563, 121.77476499999999)",11,基隆通訊處,False
32,54987124,東陵興業股份有限公司,基隆市信義區東明路77巷53-3號,1000000,2019-04-15,,核准設立,林佳陵,配管工程業、電器承裝業,-0.16699999999999998,33,25.126212,121.761804,"(25.126212, 121.761804)",11,基隆通訊處,False
33,82216871,觀尚工程行,基隆市信義區深澳坑路１６８巷４８弄１１號,240000,2019-04-22,,核准設立 - 獨資 (核准文號: 1080000869),謝月瓊,配管工程業,-0.42,34,25.125429,121.78391699999999,"(25.125429, 121.78391699999999)",11,基隆通訊處,False
34,82221706,立隆冷凍企業社,基隆市中正區祥豐街399號2樓,100000,2019-06-27,,核准設立 - 獨資 (核准文號: 1080001392),吳慶桐,配管工程業,-0.466,35,25.145331,121.768373,"(25.145331, 121.768373)",11,基隆通訊處,False
35,85216419,律言工程行,基隆市仁愛區愛七路19-7號3樓,200000,2020-01-16,,核准設立 - 獨資 (核准文號: 1090000118),郭律言,配管工程業,-0.433,36,25.12718,121.74913899999999,"(25.12718, 121.74913899999999)",11,基隆通訊處,False
36,83556715,永昇綜合工程有限公司,基隆市信義區培德路181號1樓,1000000,2020-03-09,,核准設立,塗雅婷,配管工程業、電器安裝業,-0.16699999999999998,37,25.129243,121.771622,"(25.129243, 121.771622)",11,基隆通訊處,False
37,2518403,成海行,基隆市中正區港通里中正路三八號一樓,5000,1966-11-15,2018-08-07,核准設立 - 合夥 (核准文號: 1070001655),,五金批發業,-0.77,1,25.133556,121.745011,"(25.133556, 121.745011)",11,基隆通訊處,True
38,146074,青山有限公司,基隆市信義區義四路14號,5000000,1971-12-01,2017-12-15,核准設立,,五金批發業,2.25,2,25.129777999999998,121.748263,"(25.129777999999998, 121.748263)",11,基隆通訊處,False
39,98101452,全買行,基隆市中正區中正路350號之1，1樓,50000,1997-07-07,2019-03-11,核准設立 - 獨資 (核准文號: 1080000501),,五金批發業,-0.743,3,25.143741000000002,121.761404,"(25.143741000000002, 121.761404)",11,基隆通訊處,False
40,12835744,智昌企業有限公司,基隆市中正區正砂里中正路464號,1000000,2001-07-12,2016-06-03,核准設立,,五金批發業,-0.168,4,25.148201999999998,121.761923,"(25.148201999999998, 121.761923)",11,基隆通訊處,False
41,27775110,中繼有限公司,基隆市仁愛區仁德里孝一路68-3號4樓,500000,2005-04-28,2011-01-21,核准設立,,五金批發業,-0.471,5,25.13026,121.741477,"(25.13026, 121.741477)",11,基隆通訊處,False
42,28016545,德侑科技股份有限公司,基隆市信義區義和里正信路151巷1號4樓,5000000,2005-10-26,2019-08-15,,,五金批發業,2.25,6,25.130465,121.75871299999999,"(25.130465, 121.75871299999999)",11,基隆通訊處,False
43,28333789,圓穩實業有限公司,基隆市信義區禮儀里東明路77巷130號1樓,500000,2006-06-12,2016-07-18,核准設立,,五金批發業,-0.471,7,25.125739000000003,121.76115700000001,"(25.125739000000003, 121.76115700000001)",11,基隆通訊處,False
44,28582956,盛源工業有限公司,基隆市中正區祥豐街148號1樓,3000000,2007-02-15,2010-01-22,核准設立,,五金批發業,1.041,8,25.143796,121.76615600000001,"(25.143796, 121.76615600000001)",11,基隆通訊處,True
45,10509096,禾強企業行,基隆市信義區仁壽里信一路一三三號七樓,200000,2007-12-26,2007-12-26,核准設立 - 獨資,,五金批發業,-0.652,9,25.129285,121.74736999999999,"(25.129285, 121.74736999999999)",11,基隆通訊處,False
46,10653824,景茂企業行,基隆市信義區仁壽里義五路９號１樓,200000,2008-07-07,2019-02-12,歇業 - 獨資 (核准文號: 1080000270),,五金批發業,-0.652,10,25.129081,121.74909,"(25.129081, 121.74909)",11,基隆通訊處,False
47,24350879,精港企業有限公司,基隆市中正區正濱路72號1樓,4100000,2009-02-05,,核准設立,蕭陳寶玉,五金批發業,1.706,11,25.153132,121.76956899999999,"(25.153132, 121.76956899999999)",11,基隆通訊處,False
48,53272682,翔鷹消防工程有限公司,基隆市信義區東信路3巷22號,500000,2010-12-03,2016-04-12,核准設立,,五金批發業,-0.471,12,25.127426,121.76782,"(25.127426, 121.76782)",11,基隆通訊處,False
49,54006939,玉穎貿易有限公司,基隆市中正區港通里義一路29號,500000,2012-11-07,2019-04-22,解散 (核准解散日期: 2019-10-16),,五金批發業,-0.471,13,25.133044,121.74537,"(25.133044, 121.74537)",11,基隆通訊處,True
