統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat_lon,配發公司,配發公司地址,lat,lon,推薦保險_1,推薦保險_2,公共安全責任保險,火災保險,接近險勿設施(加油站),recommand
72824572,艾品室內裝修企業社,基隆市信義區正信路141號1樓,200000,2018-06-26,2018-06-26,核准設立 - 獨資 (核准文號: 1070001298),,配管工程業,-0.433,30,"(25.130817, 121.760609)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.130817,121.760609,公共安全責任保險,None,True,False,False,公共安全責任保險
42978584,宇浩自動化有限公司,基隆市信義區孝東路142之2號5樓,300000,2018-08-07,,核准設立,蔣新平,配管工程業,-0.4,31,"(25.128159, 121.779218)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.128159,121.779218,公共安全責任保險,火災保險,True,False,True,公共安全責任保險
54983470,建信水電有限公司,基隆市信義區深澳坑路6巷292號5樓,500000,2019-03-27,,核准設立,吳正吉,配管工程業、電器安裝業,-0.333,32,"(25.133563, 121.774765)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.133563,121.774765,公共安全責任保險,None,True,False,False,公共安全責任保險
54987124,東陵興業股份有限公司,基隆市信義區東明路77巷53-3號,1000000,2019-04-15,,核准設立,林佳陵,配管工程業、電器承裝業,-0.16699999999999998,33,"(25.126212, 121.761804)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.126212,121.761804,公共安全責任保險,None,True,False,False,公共安全責任保險
82216871,觀尚工程行,基隆市信義區深澳坑路１６８巷４８弄１１號,240000,2019-04-22,,核准設立 - 獨資 (核准文號: 1080000869),謝月瓊,配管工程業,-0.42,34,"(25.125429, 121.783917)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.125429,121.783917,公共安全責任保險,None,True,False,False,公共安全責任保險
82221706,立隆冷凍企業社,基隆市中正區祥豐街399號2樓,100000,2019-06-27,,核准設立 - 獨資 (核准文號: 1080001392),吳慶桐,配管工程業,-0.466,35,"(25.145331, 121.768373)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.145331,121.768373,公共安全責任保險,None,True,False,False,公共安全責任保險
85216419,律言工程行,基隆市仁愛區愛七路19-7號3樓,200000,2020-01-16,,核准設立 - 獨資 (核准文號: 1090000118),郭律言,配管工程業,-0.433,36,"(25.12718, 121.749139)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.12718,121.749139,公共安全責任保險,None,True,False,False,公共安全責任保險
83556715,永昇綜合工程有限公司,基隆市信義區培德路181號1樓,1000000,2020-03-09,,核准設立,塗雅婷,配管工程業、電器安裝業,-0.16699999999999998,37,"(25.129243, 121.771622)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.129243,121.771622,公共安全責任保險,None,True,False,False,公共安全責任保險
2518403,成海行,基隆市中正區港通里中正路三八號一樓,5000,1966-11-15,2018-08-07,核准設立 - 合夥 (核准文號: 1070001655),,五金批發業,-0.77,1,"(25.133556, 121.745011)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.133556,121.745011,None,火災保險,False,False,True,None
146074,青山有限公司,基隆市信義區義四路14號,5000000,1971-12-01,2017-12-15,核准設立,,五金批發業,2.25,2,"(25.129778, 121.748263)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.129778,121.748263,None,None,False,False,False,None
98101452,全買行,基隆市中正區中正路350號之1，1樓,50000,1997-07-07,2019-03-11,核准設立 - 獨資 (核准文號: 1080000501),,五金批發業,-0.743,3,"(25.143741, 121.761404)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.143741,121.761404,None,None,False,False,False,None
12835744,智昌企業有限公司,基隆市中正區正砂里中正路464號,1000000,2001-07-12,2016-06-03,核准設立,,五金批發業,-0.168,4,"(25.148202, 121.761923)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.148202,121.761923,None,None,False,False,False,None
27775110,中繼有限公司,基隆市仁愛區仁德里孝一路68-3號4樓,500000,2005-04-28,2011-01-21,核准設立,,五金批發業,-0.471,5,"(25.13026, 121.741477)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.13026,121.741477,None,None,False,False,False,None
28016545,德侑科技股份有限公司,基隆市信義區義和里正信路151巷1號4樓,5000000,2005-10-26,2019-08-15,,,五金批發業,2.25,6,"(25.130465, 121.758713)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.130465,121.758713,None,None,False,False,False,None
28333789,圓穩實業有限公司,基隆市信義區禮儀里東明路77巷130號1樓,500000,2006-06-12,2016-07-18,核准設立,,五金批發業,-0.471,7,"(25.125739000000006, 121.761157)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.125739000000006,121.761157,None,None,False,False,False,None
28582956,盛源工業有限公司,基隆市中正區祥豐街148號1樓,3000000,2007-02-15,2010-01-22,核准設立,,五金批發業,1.041,8,"(25.143796, 121.766156)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.143796,121.766156,None,火災保險,False,False,True,None
10509096,禾強企業行,基隆市信義區仁壽里信一路一三三號七樓,200000,2007-12-26,2007-12-26,核准設立 - 獨資,,五金批發業,-0.652,9,"(25.129285, 121.74737)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.129285,121.74737,None,None,False,False,False,None
