,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序
55,85218556,天翼企業社,基隆市中正區正義里正義路２９巷１３-１號,200000,2019-09-23,,核准設立 - 獨資 (核准文號: 1080002059),劉哲維,五金批發業,-0.652,19
56,872510,中美銀樓有限公司,基隆市仁愛區愛三路94號,2000000,1983-12-06,2011-05-26,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,0.378,1
57,80223377,貫利生態科技有限公司,基隆市信義區義六路5之5號5樓,500000,2002-08-02,2016-07-14,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.811,2
58,27675604,三鼎服飾有限公司,基隆市仁愛區愛一路42號及43號1樓,3000000,2005-04-21,2013-07-23,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,1.171,3
59,27797249,豐喬國際有限公司,基隆市信義區仁壽里義三路4巷24號1樓,1000000,2005-05-24,2016-05-03,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,4
60,27845404,美玲國際企業有限公司,基隆市中正區中正路２８３號１樓,1000000,2005-07-15,2016-04-15,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,5
61,24381893,台灣渥瑪國際有限公司,基隆市中正區正砂里中正路185號,2000000,2009-04-03,2019-10-24,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,0.378,6
62,53275267,基山國際鐘錶企業有限公司,基隆市仁愛區愛三路90號1樓,5000000,2010-12-09,2016-06-04,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,2.756,7
63,53290892,迎果國際有限公司,基隆市中正區中砂里中正路185號,2000000,2011-01-11,2016-02-25,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,0.378,8
64,53807742,惠比壽國際企業有限公司,基隆市仁愛區仁德里愛三路36號1樓,1000000,2012-03-01,2017-08-02,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,9
65,54809971,禾兆聯合開發科技有限公司,基隆市中正區中正路34號7樓之4,3000000,2014-05-06,2016-07-29,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,1.171,10
66,50583091,愛娜企業社,基隆市仁愛區仁二路225號,40000,2016-10-04,2016-12-22,核准設立 - 獨資 (核准文號: 1050002705),,布疋、衣著、鞋、帽、傘、服飾品批發業,-1.176,11
67,55957668,安庭設計有限公司,基隆市中正區中正路554號1樓,2000000,2016-12-27,2019-04-24,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,0.378,12
68,57074972,安基倉儲物流有限公司,基隆市中正區新富里新豐街251巷2弄3號2樓,3000000,2017-08-22,,核准設立,周聖傑,布疋、衣著、鞋、帽、傘、服飾品批發業,1.171,13
69,59045741,光永貿易有限公司,基隆市信義區東信里正信路227巷23弄20號2樓,1000000,2018-01-05,2020-03-19,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,14
70,72823172,娃娃歌商行,基隆市信義區信二路191號,100000,2018-05-01,2018-05-01,核准設立 - 獨資 (核准文號: 1070000890),,布疋、衣著、鞋、帽、傘、服飾品批發業,-1.128,15
